                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3631,                  3.495,                 1.1915,                0.00304,                0.84662,                0.08345,                0.04858,                 1.1494,                  4.387,                 1.1448,             0.00054574,             0.00054574,             0.00054574
                      2,                   1.27,                 2.4285,                 1.1418,                 0.0021,                0.60707,                0.00423,                0.00283,                 1.3467,                 4.5804,                 1.3369,              0.0010905,              0.0010905,              0.0010905
                      3,                 1.2463,                 2.0884,                  1.152,                0.42545,                0.51543,                0.38191,                0.22902,                 1.3747,                  2.796,                 1.2174,              0.0016243,              0.0016243,              0.0016243
                      4,                  1.254,                 1.8959,                 1.1298,                0.42799,                0.05546,                0.08536,                0.05245,                 1.5163,                 3.7595,                 1.4016,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.2305,                 1.6886,                  1.132,                0.43181,                0.73246,                0.45409,                0.30496,                 1.1397,                 1.7272,                 1.1102,               0.001601,               0.001601,               0.001601
                      6,                 1.1865,                 1.5483,                  1.117,                0.40795,                0.78691,                0.45463,                0.30478,                 1.1477,                 1.6582,                 1.1227,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.1605,                 1.4675,                 1.0938,                0.45202,                0.78041,                0.49254,                0.33293,                 1.1174,                 1.4335,                 1.0775,               0.001568,               0.001568,               0.001568
                      8,                 1.1335,                 1.3875,                 1.0895,                0.40811,                0.75138,                0.45014,                0.30434,                 1.1253,                 1.5858,                 1.1184,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.1298,                 1.3564,                 1.0855,                 0.4549,                0.74631,                0.46651,                0.33393,                 1.0321,                 1.3464,                  1.028,               0.001535,               0.001535,               0.001535
                     10,                 1.1213,                 1.2979,                 1.0785,                0.45751,                0.61905,                0.44738,                 0.3139,                 1.1565,                 1.7194,                 1.1501,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.0485,                 1.2795,                 1.0561,                0.43268,                0.84505,                0.46986,                  0.338,                  1.033,                 1.3268,                 1.0361,               0.001502,               0.001502,               0.001502
                     12,                 1.0902,                 1.2753,                 1.0688,                0.44381,                0.81723,                0.48134,                0.35013,                 1.0093,                 1.2584,                 1.0287,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.1035,                 1.2366,                 1.0687,                0.43335,                0.82159,                0.48924,                0.35433,                 1.0454,                 1.3007,                 1.0515,               0.001469,               0.001469,               0.001469
                     14,                 1.0683,                 1.2354,                 1.0494,                 0.4592,                 0.7832,                0.47899,                0.32927,                 1.0261,                 1.3349,                 1.0563,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.0143,                 1.1859,                 1.0287,                0.42836,                0.78542,                0.46741,                0.34194,                0.98964,                 1.2464,                 1.0127,               0.001436,               0.001436,               0.001436
                     16,                  1.086,                 1.2041,                 1.0503,                 0.4433,                0.82464,                0.47354,                 0.3313,                 1.0499,                  1.286,                 1.0671,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.0483,                 1.2106,                 1.0527,                0.43252,                0.85237,                0.45782,                0.32027,                 1.0269,                 1.2563,                 1.0717,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.0614,                 1.1818,                 1.0561,                0.46907,                0.86258,                 0.5046,                0.35833,                 1.0284,                 1.2947,                 1.0535,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.0192,                 1.1663,                  1.021,                0.44888,                0.85415,                0.47921,                0.33964,                0.99426,                 1.2324,                 1.0414,              0.0013699,              0.0013699,              0.0013699
                     20,                0.99521,                 1.1281,                 1.0194,                  0.426,                0.86431,                0.45062,                0.31533,                  1.048,                 1.3286,                 1.0689,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.0085,                 1.1134,                 1.0348,                0.41538,                0.86487,                0.45933,                0.32235,                 1.0551,                 1.4899,                 1.0712,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.0175,                 1.1397,                 1.0344,                0.41648,                0.83292,                0.44035,                0.29569,                 1.0801,                 1.3209,                  1.076,              0.0013204,              0.0013204,              0.0013204
                     23,                0.99808,                 1.1004,                 1.0143,                0.43631,                0.81378,                0.44756,                0.31662,                 1.0149,                  1.249,                 1.0559,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.0388,                 1.1116,                 1.0434,                0.43826,                0.82815,                0.44216,                0.31358,                0.98217,                 1.2957,                 1.0288,              0.0012874,              0.0012874,              0.0012874
                     25,                0.96768,                 1.0665,                 1.0123,                0.40858,                0.87383,                0.47666,                0.34132,                0.99079,                 1.2826,                  1.037,              0.0012709,              0.0012709,              0.0012709
                     26,                0.99323,                 1.0632,                 1.0216,                0.38608,                0.83191,                 0.4102,                0.28537,                0.97376,                 1.2846,                 1.0237,              0.0012544,              0.0012544,              0.0012544
                     27,                0.97781,                 1.0475,                 1.0281,                0.39764,                0.88028,                0.42061,                0.29444,                 1.0035,                 1.3634,                 1.0604,              0.0012379,              0.0012379,              0.0012379
                     28,                0.97423,                 1.0317,                 1.0158,                 0.3639,                0.75097,                0.40992,                0.28667,                 1.0376,                 1.5681,                 1.0746,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.0156,                 1.0309,                 1.0272,                0.40593,                0.85587,                0.41848,                0.29431,                 1.0176,                 1.3289,                 1.0426,              0.0012049,              0.0012049,              0.0012049
                     30,                0.93658,                 1.0314,                0.99983,                0.40827,                 0.8496,                0.42159,                 0.2933,                 1.0241,                 1.2801,                 1.0752,              0.0011884,              0.0011884,              0.0011884
